location,lat,long,datetime,gage_height,discharge,precipitation,temperature,mannings_n,bed_slope,channel_width
1,35.608889,-82.578056,4/10/23 22:15,2.77,2890,0,12.9,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/10/23 22:30,2.76,2870,0,12.9,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/10/23 22:45,2.75,2850,0,12.8,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/10/23 23:00,2.75,2850,0,12.8,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/10/23 23:15,2.75,2850,0,12.8,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/10/23 23:30,2.74,2830,0,12.7,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/10/23 23:45,2.74,2830,0,12.7,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 0:00,2.73,2810,0,12.6,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 0:15,2.73,2810,0,12.6,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 0:30,2.72,2790,0,12.5,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 0:45,2.72,2790,0,12.5,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 1:00,2.71,2770,0,12.4,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 1:15,2.71,2770,0,12.4,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 1:30,2.7,2760,0,12.3,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 1:45,2.7,2760,0,12.2,0.03,0.001760951,321.56
1,35.608889,-82.578056,4/11/23 2:00,2.7,2760,0,12.2,0.03,0.00944,321.56
1,35.608889,-82.578056,4/11/23 2:15,2.69,2740,0,12.1,0.03,0.00944,321.56
1,35.608889,-82.578056,4/11/23 2:30,2.69,2740,0,12.1,0.03,0.00944,321.56
1,35.608889,-82.578056,4/11/23 2:45,2.68,2720,0,12,0.03,0.00944,321.56
1,35.608889,-82.578056,4/11/23 3:00,2.68,2720,0,12,0.03,0.00944,321.56
2,35.608889,-82.578056,4/11/23 3:15,2.67,2700,0,11.9,0.03,0.00944,321.56
2,35.608889,-82.578056,4/11/23 3:30,2.67,2700,0,11.8,0.03,0.00944,321.56
2,35.608889,-82.578056,4/11/23 3:45,2.67,2700,0,11.8,0.03,0.00944,321.56
2,35.608889,-82.578056,4/11/23 4:00,2.67,2700,0,11.7,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 4:15,2.66,2680,0,11.7,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 4:30,2.66,2680,0,11.6,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 4:45,2.65,2660,0,11.6,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 5:00,2.65,2660,0,11.5,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 5:15,2.65,2660,0,11.5,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 5:30,2.65,2660,0,11.4,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 5:45,2.65,2660,0,11.4,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 6:00,2.64,2640,0,11.4,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 6:15,2.64,2640,0,11.3,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 6:30,2.63,2630,0,11.3,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 6:45,2.63,2630,0,11.2,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 7:00,2.63,2630,0,11.2,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 7:15,2.63,2630,0,11.1,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 7:30,2.62,2610,0,11.1,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 7:45,2.61,2590,0,11.1,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 8:00,2.61,2590,0,11,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 8:15,2.61,2590,0,11,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 8:30,2.61,2590,0,11,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 8:45,2.6,2570,0,10.9,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 9:00,2.6,2570,0,10.9,0.03,0.00944,321.56
2,35.585,-82.568611,4/11/23 9:15,2.59,2560,0,10.9,0.03,0.001760951,321.56
2,35.585,-82.568611,4/11/23 9:30,2.59,2550,0,10.9,0.03,0.001760951,321.56
2,35.585,-82.568611,4/11/23 9:45,2.59,2550,0,10.9,0.03,0.001760951,321.56
2,35.585,-82.568611,4/11/23 10:00,2.58,2540,0,10.9,0.03,0.001760951,321.56
2,35.585,-82.568611,4/11/23 10:15,2.58,2540,0,10.9,0.03,0.001760951,321.56
3,35.585,-82.568611,4/11/23 10:30,2.58,2540,0,10.9,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 10:45,2.57,2520,0,11,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 11:00,2.57,2520,0,11,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 11:15,2.57,2520,0,11,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 11:30,2.57,2520,0,11.1,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 11:45,2.56,2500,0,11.2,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 12:00,2.56,2500,0,11.2,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 12:15,2.56,2500,0,11.3,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 12:30,2.55,2480,0,11.4,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 12:45,2.55,2480,0,11.6,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 13:00,2.55,2480,0,11.7,0.03,0.001760951,70.2
3,35.585,-82.568611,4/11/23 13:15,2.54,2470,0,11.8,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 13:30,2.54,2470,0,11.9,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 13:45,2.54,2470,0,12,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 14:00,2.53,2450,0,12.2,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 14:15,2.53,2450,0,12.3,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 14:30,2.53,2450,0,12.4,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 14:45,2.53,2450,0,12.6,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 15:00,2.53,2450,0,12.7,0.03,0.0013694,70.2
3,35.585,-82.568611,4/11/23 15:15,2.52,2430,0,12.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 15:30,2.52,2430,0,12.9,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 15:45,2.51,2410,0,13,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 16:00,2.51,2410,0,13.1,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 16:15,2.51,2410,0,13.2,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 16:30,2.51,2410,0,13.3,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 16:45,2.51,2410,0,13.4,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 17:00,2.5,2400,0,13.5,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 17:15,2.5,2400,0,13.6,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 17:30,2.5,2390,0,13.7,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 17:45,2.5,2390,0,13.7,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 18:00,2.5,2390,0,13.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 18:15,2.49,2380,0,13.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 18:30,2.49,2380,0,13.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 18:45,2.49,2380,0,13.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 19:00,2.49,2380,0,13.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 19:15,2.48,2360,0,13.8,0.03,0.0013694,321.56
3,35.585,-82.568611,4/11/23 19:30,2.48,2360,0,13.8,0.03,0.0013694,321.56
3,35.568333,-82.544722,4/11/23 19:45,2.48,2360,0,13.8,0.03,0.0013694,321.56
3,35.568333,-82.544722,4/11/23 20:00,2.48,2360,0,13.8,0.03,0.0013694,321.56
3,35.568333,-82.544722,4/11/23 20:15,2.47,2340,0,13.8,0.03,0.0013694,54.8
3,35.568333,-82.544722,4/11/23 20:30,2.47,2340,0,13.9,0.03,0.0013694,54.8
3,35.568333,-82.544722,4/11/23 20:45,2.47,2340,0,13.9,0.03,0.0013694,54.8
3,35.568333,-82.544722,4/11/23 21:00,2.47,2340,0,13.9,0.03,0.0013694,54.8
3,35.568333,-82.544722,4/11/23 21:15,2.47,2340,0,13.9,0.03,0.0013694,54.8
3,35.568333,-82.544722,4/11/23 21:30,2.47,2340,0,13.9,0.03,0.0013694,54.8
3,35.568333,-82.544722,4/11/23 21:45,2.46,2320,0,13.9,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 22:00,2.46,2320,0,13.8,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 22:15,2.46,2320,0,13.8,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 22:30,2.45,2310,0,13.8,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 22:45,2.45,2310,0,13.8,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 23:00,2.45,2310,0,13.8,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 23:15,2.45,2310,0,13.7,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 23:30,2.45,2310,0,13.7,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/11/23 23:45,2.45,2310,0,13.6,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 0:00,2.44,2290,0,13.6,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 0:15,2.44,2290,0,13.6,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 0:30,2.44,2290,0,13.5,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 0:45,2.43,2270,0,13.5,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 1:00,2.43,2270,0,13.4,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 1:15,2.43,2270,0,13.4,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 1:30,2.43,2270,0,13.4,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 1:45,2.43,2270,0,13.3,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 2:00,2.43,2270,0,13.2,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 2:15,2.42,2250,0,13.2,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 2:30,2.42,2250,0,13.1,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 2:45,2.42,2250,0,13.1,0.03,0.001760951,54.8
3,35.568333,-82.544722,4/12/23 3:00,2.42,2250,0,13,0.03,0.001760951,321.56
3,35.568333,-82.544722,4/12/23 3:15,2.41,2240,0,12.9,0.03,0.001760951,321.56
3,35.568333,-82.544722,4/12/23 3:30,2.41,2240,0,12.9,0.03,0.001760951,321.56
3,35.568333,-82.544722,4/12/23 3:45,2.41,2240,0,12.8,0.03,0.001760951,321.56
3,35.568333,-82.544722,4/12/23 4:00,2.41,2240,0,12.7,0.03,0.001760951,321.56
3,35.568333,-82.544722,4/12/23 4:15,2.41,2240,0,12.7,0.03,0.001760951,321.56
3,35.568333,-82.544722,4/12/23 4:30,2.41,2230,0,12.6,0.03,0.001760951,321.56